Fecha,Dataset,Notes,lr,units,# layers,dropout,epochs,tiempoPromedio,auc1,auc2,auc3,aucTrain1,aucTrain2,aucTrain3,aucMean,aucTrainMean
2018-03-25 12:38:36,england-vs-all,,0.01,32,1,0.8,150,1455.660977,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 12:38:36,england-vs-all,,0.01,32,1,0.8,200,1455.9316789999998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 12:38:36,england-vs-all,,0.01,32,1,0.8,250,1456.091717,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 12:38:36,england-vs-all,,0.01,32,1,0.8,300,1456.575187,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 20:02:43,england-vs-all,,0.1,32,1,0.4,50,1473.139965,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 20:02:43,england-vs-all,,0.1,32,1,0.4,100,1472.621026,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 20:02:43,england-vs-all,,0.1,32,1,0.4,150,1473.317391,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 20:02:43,england-vs-all,,0.1,32,1,0.4,200,1472.527312,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 20:02:43,england-vs-all,,0.1,32,1,0.4,250,1473.145302,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-25 20:02:43,england-vs-all,,0.1,32,1,0.4,300,1473.878413,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 03:27:57,england-vs-all,,0.1,32,1,0.6,50,1476.9070359999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 03:27:57,england-vs-all,,0.1,32,1,0.6,100,1477.084335,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 03:27:57,england-vs-all,,0.1,32,1,0.6,150,1476.873303,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 03:27:57,england-vs-all,,0.1,32,1,0.6,200,1476.4061359999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 03:27:57,england-vs-all,,0.1,32,1,0.6,250,1476.261197,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 03:27:57,england-vs-all,,0.1,32,1,0.6,300,1477.414224,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 10:52:41,england-vs-all,,0.1,32,1,0.8,50,1474.8829449999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 10:52:41,england-vs-all,,0.1,32,1,0.8,100,1474.446026,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 10:52:41,england-vs-all,,0.1,32,1,0.8,150,1475.222889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 10:52:41,england-vs-all,,0.1,32,1,0.8,200,1475.441332,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 10:52:41,england-vs-all,,0.1,32,1,0.8,250,1475.281348,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 10:52:41,england-vs-all,,0.1,32,1,0.8,300,1475.278629,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 18:23:55,england-vs-all,,0.5,32,1,0.4,50,1498.08457,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 18:23:55,england-vs-all,,0.5,32,1,0.4,100,1494.695001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 18:23:55,england-vs-all,,0.5,32,1,0.4,150,1500.645667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 18:23:55,england-vs-all,,0.5,32,1,0.4,200,1499.628582,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-26 18:23:55,england-vs-all,,0.5,32,1,0.4,250,1496.184702,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
