Fecha,Dataset,lr,units,dropout,epochs,tiempoPromedio,auc1,auc2,auc3,aucTrain1,aucTrain2,aucTrain3
2018-03-23 14:23:39,england-vs-all,0.001,100,0.4,20,484.666939,0.570361,0.551309,0.568052,?,?,?
2018-03-23 14:23:39,england-vs-all,0.001,100,0.4,40,484.557335,0.577595,0.5753,0.572708,?,?,?
2018-03-23 14:23:39,england-vs-all,0.001,100,0.4,60,485.21074,0.578471,0.574171,0.566147,?,?,?
2018-03-23 14:23:39,england-vs-all,0.001,100,0.4,80,487.614648,0.581734,0.571981,0.564858,?,?,?
